Zip,YEAR,INCOME,NUMBER
92086,2010,"Less than $15,000",88
92086,2010,"$15,000 to $29,999",63
92086,2010,"$30,000 to $44,999",95
92086,2010,"$45,000 to $59,999",69
92086,2010,"$60,000 to $74,999",61
92086,2010,"$75,000 to $99,999",24
92086,2010,"$100,000 to $124,999",27
92086,2010,"$125,000 to $149,999",6
92086,2010,"$150,000 to $199,999",12
92086,2010,"$200,000 or more",19
92091,2010,"Less than $15,000",47
92091,2010,"$15,000 to $29,999",39
92091,2010,"$30,000 to $44,999",46
92091,2010,"$45,000 to $59,999",30
92091,2010,"$60,000 to $74,999",36
92091,2010,"$75,000 to $99,999",43
92091,2010,"$100,000 to $124,999",95
92091,2010,"$125,000 to $149,999",59
92091,2010,"$150,000 to $199,999",76
92091,2010,"$200,000 or more",210
92093,2010,"Less than $15,000",11
92093,2010,"$15,000 to $29,999",7
92093,2010,"$30,000 to $44,999",6
92093,2010,"$45,000 to $59,999",2
92093,2010,"$60,000 to $74,999",6
92093,2010,"$75,000 to $99,999",10
92093,2010,"$100,000 to $124,999",4
92093,2010,"$125,000 to $149,999",9
92093,2010,"$150,000 to $199,999",13
92093,2010,"$200,000 or more",38
92096,2010,"Less than $15,000",0
92096,2010,"$15,000 to $29,999",0
92096,2010,"$30,000 to $44,999",0
92096,2010,"$45,000 to $59,999",0
92096,2010,"$60,000 to $74,999",0
92096,2010,"$75,000 to $99,999",0
92096,2010,"$100,000 to $124,999",0
92096,2010,"$125,000 to $149,999",0
92096,2010,"$150,000 to $199,999",0
92096,2010,"$200,000 or more",0
92101,2010,"Less than $15,000",4334
92101,2010,"$15,000 to $29,999",3271
92101,2010,"$30,000 to $44,999",1830
